Month,Outlier_Type,Box_Index,Box_Time,SW_Corner_X,SW_Corner_Y,Value
3,Variance,3731,2021-03-20 11:21:31,280050,744050,2.9435370415212923
3,Variance,3732,2021-03-20 11:21:31,286050,754050,2.834449015471278
3,Variance,3758,2022-03-23 11:21:32,272050,739050,2.836532523317937
3,Variance,3818,2021-03-31 11:04:08,378050,298050,4.4168454935910075
3,Variance,3819,2021-03-31 11:04:08,349050,304050,3.706274357570643
3,Variance,3833,2022-03-26 11:04:18,376050,294050,3.483956685331912
3,Variance,3835,2022-03-26 11:04:18,355050,314050,4.901265003128306
3,Variance,3935,2017-03-25 11:21:19,269050,694050,3.2128930235268998
3,Variance,4014,2021-03-20 11:21:31,289050,694050,4.496119273206897
3,Variance,4018,2021-03-20 11:21:31,299050,707050,3.3273779517951634
3,Variance,4019,2021-03-20 11:21:31,280050,714050,4.558861405222383
3,Variance,4282,2021-03-31 11:03:44,484050,381050,6.3208173368858365
3,Variance,4283,2021-03-31 11:03:44,494050,388050,6.985822843071459
3,Variance,4284,2021-03-31 11:03:44,481050,391050,6.770686551212741
3,Variance,4285,2021-03-31 11:03:44,491050,398050,5.869973476826616
3,Variance,4325,2022-03-26 11:03:54,495050,384050,3.004799647428278
3,Variance,4326,2022-03-26 11:03:54,481050,394050,4.779928436847716
3,Variance,4327,2022-03-26 11:03:54,495050,394050,3.0005308316894705
3,Variance,4816,2017-03-25 11:21:19,251050,841050,3.5415660800487765
3,Variance,4856,2022-03-23 11:21:32,242050,818050,6.795117010239509
3,Variance,4857,2022-03-23 11:21:32,247050,828050,6.094475165511818
3,Variance,5090,2021-03-31 11:04:08,393050,314050,2.959611345936325
3,Variance,5366,2022-03-25 11:09:08,349050,824050,3.023630025808235
3,Variance,5367,2022-03-25 11:09:08,359050,824050,2.9635944758706834
3,Variance,5619,2022-03-24 11:15:53,297050,680050,6.417612428260052
3,Variance,5695,2018-03-30 11:09:12,359050,661050,3.30103468178267
3,Variance,5769,2022-03-08 11:15:57,379050,664050,3.778209680517498
3,Variance,5810,2017-03-27 11:09:44,334050,418050,10.992362543846513
3,Variance,5811,2017-03-27 11:09:44,335050,442050,3.2550501905428284
3,Variance,6147,2022-03-22 11:28:39,55050,501050,4.5641243512272345
3,Variance,6229,2022-03-25 11:09:32,377050,635050,3.7557602397096788
3,Variance,6551,2021-03-31 11:03:44,483050,414050,7.689651372711564
3,Variance,6552,2021-03-31 11:03:44,492050,438050,4.426730349707103
3,Variance,6562,2022-03-18 11:03:51,498050,421050,2.932419281319148
3,Variance,6765,2022-03-28 10:51:56,589050,263050,4.2583036289517215
3,Variance,7027,2015-03-22 11:10:05,279050,364050,3.51749826889181
3,Variance,8246,2022-03-28 10:52:20,538050,236050,3.931022893911296
4,RMSE,24,2015-04-05 11:20:41,229050,854050,5.411107297687177
4,RMSE,316,2017-04-30 10:57:04,497050,454050,6.738865163856135
4,RMSE,584,2018-04-15 11:08:39,404050,864050,5.335450445277267
4,RMSE,925,2013-04-12 10:53:46,511050,294050,24.25058093053258
4,RMSE,1087,2021-04-18 10:51:39,519050,294050,4.657462605262805
4,RMSE,1089,2021-04-18 10:51:39,519050,304050,4.634550283686319
4,RMSE,1851,2015-04-05 11:21:04,335050,834050,4.558529788386936
4,RMSE,2463,2019-04-20 10:57:36,551050,294050,4.671363984879653
4,RMSE,2464,2019-04-20 10:57:36,566050,294050,5.026948029482354
4,RMSE,2467,2019-04-20 10:57:36,569050,304050,5.128450123414957
4,RMSE,2468,2019-04-20 10:57:36,570050,314050,6.078521128679367
4,RMSE,2471,2019-04-20 10:57:36,574050,324050,5.823817278111691
4,RMSE,2583,2021-04-18 10:51:39,569050,313050,5.599994869197635
